Name,File Name,Size,File
face surprise,face-surprise.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-surprise.svg
face tired,face-tired.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-tired.svg
face uncertain,face-uncertain.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-uncertain.svg
face wink,face-wink.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-wink.svg
face worried,face-worried.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-worried.svg
folder copy,folder-copy.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder-copy.svg
folder documents,folder-documents.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder-documents.svg
folder download,folder-download.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder-download.svg
folder drag accept,folder-drag-accept.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder-drag-accept.svg
folder move,folder-move.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder-move.svg
folder music,folder-music.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder-music.svg
folder new,folder-new.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder-new.svg
folder open,folder-open.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder-open.svg
folder pictures,folder-pictures.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder-pictures.svg
folder publicshare,folder-publicshare.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder-publicshare.svg
folder recent,folder-recent.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder-recent.svg
folder remote,folder-remote.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder-remote.svg
folder saved search,folder-saved-search.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder-saved-search.svg
folder tag,folder-tag.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder-tag.svg
folder templates,folder-templates.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder-templates.svg
folder videos,folder-videos.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder-videos.svg
folder,folder.svg,16,https://wentin.github.io/elementary-icons/svg/16/folder.svg
font x generic,font-x-generic.svg,16,https://wentin.github.io/elementary-icons/svg/16/font-x-generic.svg
format justify center,format-justify-center.svg,16,https://wentin.github.io/elementary-icons/svg/16/format-justify-center.svg
format justify fill,format-justify-fill.svg,16,https://wentin.github.io/elementary-icons/svg/16/format-justify-fill.svg
format justify left,format-justify-left.svg,16,https://wentin.github.io/elementary-icons/svg/16/format-justify-left.svg
format justify right,format-justify-right.svg,16,https://wentin.github.io/elementary-icons/svg/16/format-justify-right.svg
format text bold,format-text-bold.svg,16,https://wentin.github.io/elementary-icons/svg/16/format-text-bold.svg
format text italic,format-text-italic.svg,16,https://wentin.github.io/elementary-icons/svg/16/format-text-italic.svg
format text none,format-text-none.svg,16,https://wentin.github.io/elementary-icons/svg/16/format-text-none.svg
format text strikethrough,format-text-strikethrough.svg,16,https://wentin.github.io/elementary-icons/svg/16/format-text-strikethrough.svg
format text underline,format-text-underline.svg,16,https://wentin.github.io/elementary-icons/svg/16/format-text-underline.svg
go bottom,go-bottom.svg,16,https://wentin.github.io/elementary-icons/svg/16/go-bottom.svg
go down,go-down.svg,16,https://wentin.github.io/elementary-icons/svg/16/go-down.svg
go first rtl,go-first-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/go-first-rtl.svg
go first,go-first.svg,16,https://wentin.github.io/elementary-icons/svg/16/go-first.svg
go home,go-home.svg,16,https://wentin.github.io/elementary-icons/svg/16/go-home.svg
go jump rtl,go-jump-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/go-jump-rtl.svg
go jump,go-jump.svg,16,https://wentin.github.io/elementary-icons/svg/16/go-jump.svg
go last rtl,go-last-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/go-last-rtl.svg
go last,go-last.svg,16,https://wentin.github.io/elementary-icons/svg/16/go-last.svg
go next rtl,go-next-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/go-next-rtl.svg
go next,go-next.svg,16,https://wentin.github.io/elementary-icons/svg/16/go-next.svg
go previous rtl,go-previous-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/go-previous-rtl.svg
go previous,go-previous.svg,16,https://wentin.github.io/elementary-icons/svg/16/go-previous.svg
go top,go-top.svg,16,https://wentin.github.io/elementary-icons/svg/16/go-top.svg
go up,go-up.svg,16,https://wentin.github.io/elementary-icons/svg/16/go-up.svg
gtk network,gtk-network.svg,16,https://wentin.github.io/elementary-icons/svg/16/gtk-network.svg
help about,help-about.svg,16,https://wentin.github.io/elementary-icons/svg/16/help-about.svg
help contents,help-contents.svg,16,https://wentin.github.io/elementary-icons/svg/16/help-contents.svg
html,html.svg,16,https://wentin.github.io/elementary-icons/svg/16/html.svg
image missing,image-missing.svg,16,https://wentin.github.io/elementary-icons/svg/16/image-missing.svg
image x 3ds,image-x-3ds.svg,16,https://wentin.github.io/elementary-icons/svg/16/image-x-3ds.svg
image x compressed xcf,image-x-compressed-xcf.svg,16,https://wentin.github.io/elementary-icons/svg/16/image-x-compressed-xcf.svg
image x generic,image-x-generic.svg,16,https://wentin.github.io/elementary-icons/svg/16/image-x-generic.svg
image x svg xml,image-x-svg+xml.svg,16,https://wentin.github.io/elementary-icons/svg/16/image-x-svg+xml.svg
image x xcf,image-x-xcf.svg,16,https://wentin.github.io/elementary-icons/svg/16/image-x-xcf.svg
image,image.svg,16,https://wentin.github.io/elementary-icons/svg/16/image.svg
inode directory,inode-directory.svg,16,https://wentin.github.io/elementary-icons/svg/16/inode-directory.svg
input gaming,input-gaming.svg,16,https://wentin.github.io/elementary-icons/svg/16/input-gaming.svg
input keyboard,input-keyboard.svg,16,https://wentin.github.io/elementary-icons/svg/16/input-keyboard.svg
input mouse,input-mouse.svg,16,https://wentin.github.io/elementary-icons/svg/16/input-mouse.svg
input tablet,input-tablet.svg,16,https://wentin.github.io/elementary-icons/svg/16/input-tablet.svg
insert image,insert-image.svg,16,https://wentin.github.io/elementary-icons/svg/16/insert-image.svg
